epoca,bloco,cultivar,cp,ct,ap,nc,ng,areac,areag,compc,compg,largc,largg,nr,mc,rgpla,icc,ngcap,mmg,rgpar,rgha
E1,B1,D,26.75,46,72.75,34.5,238.375,0.396326963332813,0.07349987386463,0.765260216808569,0.429167340407735,0.675889171159492,0.225136407437796,0.25,1.75625,1.35,0.768446088518637,7.00550805275967,5.37398536001984,195.75,1957.5
E1,B1,M,21.02,58.78,79.8,35.5555555555556,241.7,0.413641843825412,0.0671433727208834,0.761340266495243,0.358615317984504,0.665554676778363,0.213207109747336,1.3,1.838,1.379,0.74969010697269,6.76465599578345,5.70747499995304,114.32,1143.2
E1,B2,D,27.125,41.75,68.875,30.375,175.625,0.377359906588071,0.083139963931797,0.701965045110242,0.441597661787825,0.625618203337052,0.243745290674072,0.875,1.50125,1.16,0.754208841925912,5.57915100940849,6.46273057605254,153.64,1536.4
E1,B2,M,24.3,64.5,88.8,27.9,167,0.402286664444803,0.0782485450334421,0.725339220048349,0.388104223156513,0.64051297147081,0.231942163300461,1.1,1.279,0.922,0.660331064677072,5.77907342812718,6.08013894651488,142.8,1428
E1,B3,D,27.5,50.5,78,34,196.75,0.377661163202872,0.0690130750602796,0.759461339962929,0.394657261262116,0.660997736387376,0.216965843347703,1.83333333333333,1.5225,1.09,0.732280669204007,6.28423219086022,5.22587220528679,111.75,1117.5
E1,B3,M,28.3333333333333,65,93.3333333333333,29.6666666666667,177.777777777778,0.381777455009053,0.0754714839877064,0.740160396866172,0.417068570847924,0.651790144630839,0.224310869696373,0.888888888888889,1.41666666666667,1.02888888888889,0.699387901266121,6.0741719519545,5.60972917302857,163.64,1636.4
E2,B1,D,28.7777777777778,43.6666666666667,72.4444444444444,26.125,145.333333333333,0.463405674383231,0.0802247415455594,0.810266293317051,0.425381121098743,0.702004556895922,0.242955091650765,0.444444444444444,1.38888888888889,1.07333333333333,0.805223120739536,5.72135669259729,7.32871890644096,76.76,767.6
E2,B1,M,29.6666666666667,50,79.6666666666667,20.6666666666667,123.5,0.366754405625916,0.0824177240146109,0.749898768284253,0.434984973043211,0.669000127278441,0.2405528182514,0.5,0.865,0.608333333333333,0.730778459786861,6.37526852846402,5.03536433451482,116.3,1163
E2,B2,D,22.8,54,76.8,34.9,207.2,0.291413130860438,0.0670919409466764,0.641813592379409,0.417051824039119,0.598322518601407,0.209891401123168,1.1,1.743,1.276,0.748220132009762,5.75593443605944,7.20459107515201,81.37,813.7
E2,B2,M,32.1111111111111,51.7777777777778,83.8888888888889,22.8888888888889,152.555555555556,0.389183143232948,0.0807839682713622,0.746775601300023,0.43179790176086,0.684395262775417,0.238157727487086,0.333333333333333,1.10444444444444,0.777777777777778,0.750819006196391,6.77154268350577,5.37443041532191,120.93,1209.3
E2,B3,D,22.4444444444444,50.4444444444444,72.8888888888889,21.3333333333333,133.111111111111,0.422944652061527,0.0753557865027891,0.758030896222145,0.406714167012001,0.683373734892436,0.227032833560687,0.111111111111111,0.981111111111111,0.685555555555556,0.711417981181985,6.45097060572864,5.15046699415241,120.41,1204.1
E2,B3,M,18.3,54.7,73,14.5,84.1,0.352038250936279,0.0774883435666373,0.729423228071962,0.421649459587235,0.649466912354922,0.232055733179502,0.1,0.608,0.412,0.657120778941129,6.21199411699412,5.0531049810192,111.75,1117.5
E3,B1,D,11.7777777777778,64.8888888888889,76.6666666666667,16.1111111111111,87.2222222222222,0.318904879693646,0.0732246515616885,0.662757335965792,0.416358502393569,0.626252251898892,0.225297317533124,0.666666666666667,0.498888888888889,0.297777777777778,0.602343609774171,4.84210144373997,3.62482203221405,22.26,222.6
E3,B1,M,16.553,64.5,81.053,11,48.3,0.358213023447483,0.0809884372726197,0.707011724713732,0.441493898520006,0.654851756220622,0.238139042109042,0.4,0.331,0.156,0.428596494641439,4.3848671679198,2.84464459096066,26.04,260.4
E3,B2,D,20.253,64.03,84.283,22.5,107.3,0.372290658425167,0.0769492571388407,0.72241617036685,0.433153488499009,0.668011137153292,0.235713021818486,0.6,0.748,0.414,0.566124851367082,4.61383283383283,3.76763215962314,19.81,198.1
E3,B2,M,17.9714285714286,74.9285714285714,92.9,22.8571428571429,114.142857142857,0.311261204702428,0.0771738711173691,0.660195351984041,0.426568061494898,0.613388466573789,0.231145384354637,1.57142857142857,0.664285714285714,0.415714285714286,0.625203420361527,5.35613397901534,3.57852070306465,22.49,224.9
E3,B3,D,20,59.7142857142857,79.7142857142857,12,69.2857142857143,0.351779247249006,0.0792970741687849,0.684977675382988,0.435096610269912,0.654129444084599,0.235204890045764,0,0.488571428571429,0.338571428571429,0.702314304732618,5.66820922348873,4.85717744129885,23.67,236.7
E3,B3,M,18.3333333333333,59.3333333333333,77.6666666666667,12.1111111111111,61.5555555555556,0.298285809145902,0.0792052598371933,0.660429319879046,0.443319342206059,0.606721626183972,0.232731126909007,0.222222222222222,0.413333333333333,0.272222222222222,0.668340151633935,5.13253961762734,4.45870673592793,19.79,197.9
E4,B1,D,11.3333333333333,61.6666666666667,73,17.6666666666667,80.1666666666667,0.310136018535832,0.0747516061175714,0.703074888725207,0.417860873139502,0.612400935152107,0.230562712326078,1,0.508333333333333,0.326666666666667,0.604228117980278,4.5146105664488,4.06631399940256,24.44,244.4
E4,B1,M,10.7777777777778,63.3333333333333,74.1111111111111,13.6666666666667,71.3333333333333,0.305512810847632,0.0693713741973363,0.651724710306285,0.407083472754845,0.610980415612711,0.22237519544272,0,0.442222222222222,0.267777777777778,0.590393109779299,4.91028322440087,3.7557261936303,30.02,300.2
E4,B2,D,9.5,62.4,71.9,13.2,61.8,0.268247695321536,0.0693106825523791,0.621187214450378,0.402977071652894,0.572513134966151,0.219464936802174,0.3,0.344,0.219,0.602387677681795,4.39050324675325,3.37605881957083,20.21,202.1
E4,B2,M,8.25,57.7,65.95,10.9,44.1,0.289752647299272,0.068286134247396,0.688939639022736,0.408832489375961,0.597719418921218,0.220480583927532,0.4,0.254,0.173,0.731126963978626,4.12171212121212,4.7054340771769,23.2,232
E4,B3,D,12.15,54.25,66.4,18.1,89.2,0.28195586632517,0.0653330266231309,0.622772311034912,0.397644412114114,0.590749140524227,0.211816220226999,0.4,0.543,0.364,0.660847565166765,4.83979680756569,4.02101907128399,26.46,264.6
E4,B3,M,10.25,56.88,67.13,19.2,76.4,0.258398197780639,0.0655341436592101,0.604446555549704,0.396823247124292,0.562051053137782,0.211984317741627,0.6,0.445,0.265,0.588064330447288,4.17739947015489,3.46578947030229,17.37,173.7
